[2025-10-31 12:00:33 AM-Train.py-INFO:CCD-Train]
[2025-10-31 12:00:46 AM-Train.py-INFO:CCD-Train]
[2025-10-31 12:01:31 AM-Train.py-INFO:CCD-Train]
[2025-10-31 12:02:36 AM-Train.py-INFO:CCD-Train]
[2025-10-31 12:06:08 AM-Train.py-INFO:CCD-Train]
[2025-10-31 12:06:33 AM-Train.py-INFO:CCD-Train]
[2025-10-31 12:08:50 AM-Train.py-INFO:CCD-Train]
[2025-10-31 12:08:56 AM-Train.py-INFO:#TRAIN#:Epoch [001/025], Step [0000/0063], Loss: 2.5410]
[2025-10-31 12:09:18 AM-Train.py-INFO:CCD-Train]
[2025-10-31 12:09:24 AM-Train.py-INFO:#TRAIN#:Epoch [001/025], Step [0000/0063], Loss: 2.5719]
[2025-10-31 12:09:45 AM-Train.py-INFO:#TRAIN#:Epoch [001/025], Step [0020/0063], Loss: 2.4266]
[2025-10-31 12:10:06 AM-Train.py-INFO:#TRAIN#:Epoch [001/025], Step [0040/0063], Loss: 2.4476]
[2025-10-31 12:10:34 AM-Train.py-INFO:CCD-Train]
[2025-10-31 12:12:04 AM-Train.py-INFO:CCD-Train]
[2025-10-31 12:12:11 AM-Train.py-INFO:#TRAIN#:Epoch [001/025], Step [0000/0063], Loss: 2.6003]
[2025-10-31 12:12:31 AM-Train.py-INFO:#TRAIN#:Epoch [001/025], Step [0020/0063], Loss: 2.1618]
[2025-10-31 12:12:52 AM-Train.py-INFO:#TRAIN#:Epoch [001/025], Step [0040/0063], Loss: 2.3969]
[2025-10-31 12:13:12 AM-Train.py-INFO:#TRAIN#:Epoch [001/025], Step [0060/0063], Loss: 2.4874]
[2025-10-31 12:13:20 AM-Train.py-INFO:#TRAIN#:Epoch [002/025], Step [0000/0063], Loss: 2.1627]
[2025-10-31 12:13:40 AM-Train.py-INFO:#TRAIN#:Epoch [002/025], Step [0020/0063], Loss: 2.1770]
[2025-10-31 12:14:01 AM-Train.py-INFO:#TRAIN#:Epoch [002/025], Step [0040/0063], Loss: 1.8694]
[2025-10-31 12:14:21 AM-Train.py-INFO:#TRAIN#:Epoch [002/025], Step [0060/0063], Loss: 1.9125]
[2025-10-31 12:14:28 AM-Train.py-INFO:#TRAIN#:Epoch [003/025], Step [0000/0063], Loss: 2.0357]
[2025-10-31 12:14:49 AM-Train.py-INFO:#TRAIN#:Epoch [003/025], Step [0020/0063], Loss: 1.8681]
[2025-10-31 12:15:09 AM-Train.py-INFO:#TRAIN#:Epoch [003/025], Step [0040/0063], Loss: 1.9736]
[2025-10-31 12:15:30 AM-Train.py-INFO:#TRAIN#:Epoch [003/025], Step [0060/0063], Loss: 2.3763]
[2025-10-31 12:15:37 AM-Train.py-INFO:#TRAIN#:Epoch [004/025], Step [0000/0063], Loss: 2.1168]
[2025-10-31 12:15:57 AM-Train.py-INFO:#TRAIN#:Epoch [004/025], Step [0020/0063], Loss: 1.8209]
[2025-10-31 12:16:19 AM-Train.py-INFO:#TRAIN#:Epoch [004/025], Step [0040/0063], Loss: 1.8283]
[2025-10-31 12:16:41 AM-Train.py-INFO:#TRAIN#:Epoch [004/025], Step [0060/0063], Loss: 2.0040]
[2025-10-31 12:16:48 AM-Train.py-INFO:#TRAIN#:Epoch [005/025], Step [0000/0063], Loss: 1.9626]
[2025-10-31 12:17:11 AM-Train.py-INFO:#TRAIN#:Epoch [005/025], Step [0020/0063], Loss: 1.9254]
[2025-10-31 12:17:33 AM-Train.py-INFO:#TRAIN#:Epoch [005/025], Step [0040/0063], Loss: 1.8399]
[2025-10-31 12:17:55 AM-Train.py-INFO:#TRAIN#:Epoch [005/025], Step [0060/0063], Loss: 1.7066]
[2025-10-31 12:18:03 AM-Train.py-INFO:#TRAIN#:Epoch [006/025], Step [0000/0063], Loss: 1.6152]
[2025-10-31 12:18:25 AM-Train.py-INFO:#TRAIN#:Epoch [006/025], Step [0020/0063], Loss: 1.5899]
[2025-10-31 12:18:48 AM-Train.py-INFO:#TRAIN#:Epoch [006/025], Step [0040/0063], Loss: 1.9842]
[2025-10-31 12:19:10 AM-Train.py-INFO:#TRAIN#:Epoch [006/025], Step [0060/0063], Loss: 1.9374]
[2025-10-31 12:19:17 AM-Train.py-INFO:#TRAIN#:Epoch [007/025], Step [0000/0063], Loss: 1.6844]
[2025-10-31 12:19:39 AM-Train.py-INFO:#TRAIN#:Epoch [007/025], Step [0020/0063], Loss: 1.8156]
[2025-10-31 12:20:02 AM-Train.py-INFO:#TRAIN#:Epoch [007/025], Step [0040/0063], Loss: 1.7967]
[2025-10-31 12:20:24 AM-Train.py-INFO:#TRAIN#:Epoch [007/025], Step [0060/0063], Loss: 2.0902]
[2025-10-31 12:20:31 AM-Train.py-INFO:#TRAIN#:Epoch [008/025], Step [0000/0063], Loss: 1.7114]
[2025-10-31 12:20:52 AM-Train.py-INFO:#TRAIN#:Epoch [008/025], Step [0020/0063], Loss: 1.7339]
[2025-10-31 12:21:16 AM-Train.py-INFO:#TRAIN#:Epoch [008/025], Step [0040/0063], Loss: 1.7076]
[2025-10-31 12:21:38 AM-Train.py-INFO:#TRAIN#:Epoch [008/025], Step [0060/0063], Loss: 1.5367]
[2025-10-31 12:21:45 AM-Train.py-INFO:#TRAIN#:Epoch [009/025], Step [0000/0063], Loss: 1.7352]
[2025-10-31 12:22:08 AM-Train.py-INFO:#TRAIN#:Epoch [009/025], Step [0020/0063], Loss: 1.7501]
[2025-10-31 12:22:29 AM-Train.py-INFO:#TRAIN#:Epoch [009/025], Step [0040/0063], Loss: 1.8094]
[2025-10-31 12:22:52 AM-Train.py-INFO:#TRAIN#:Epoch [009/025], Step [0060/0063], Loss: 1.6796]
[2025-10-31 12:22:59 AM-Train.py-INFO:#TRAIN#:Epoch [010/025], Step [0000/0063], Loss: 1.5983]
[2025-10-31 12:23:21 AM-Train.py-INFO:#TRAIN#:Epoch [010/025], Step [0020/0063], Loss: 1.8914]
[2025-10-31 12:23:44 AM-Train.py-INFO:#TRAIN#:Epoch [010/025], Step [0040/0063], Loss: 1.8982]
[2025-10-31 12:24:06 AM-Train.py-INFO:#TRAIN#:Epoch [010/025], Step [0060/0063], Loss: 1.9001]
[2025-10-31 12:24:14 AM-Train.py-INFO:#TRAIN#:Epoch [011/025], Step [0000/0063], Loss: 1.7962]
[2025-10-31 12:24:36 AM-Train.py-INFO:#TRAIN#:Epoch [011/025], Step [0020/0063], Loss: 1.6747]
[2025-10-31 12:24:59 AM-Train.py-INFO:#TRAIN#:Epoch [011/025], Step [0040/0063], Loss: 1.7889]
[2025-10-31 12:25:22 AM-Train.py-INFO:#TRAIN#:Epoch [011/025], Step [0060/0063], Loss: 1.5341]
[2025-10-31 12:25:29 AM-Train.py-INFO:#TRAIN#:Epoch [012/025], Step [0000/0063], Loss: 1.8345]
[2025-10-31 12:25:51 AM-Train.py-INFO:#TRAIN#:Epoch [012/025], Step [0020/0063], Loss: 1.6320]
[2025-10-31 12:26:13 AM-Train.py-INFO:#TRAIN#:Epoch [012/025], Step [0040/0063], Loss: 1.7137]
[2025-10-31 12:26:35 AM-Train.py-INFO:#TRAIN#:Epoch [012/025], Step [0060/0063], Loss: 1.3957]
[2025-10-31 12:26:42 AM-Train.py-INFO:#TRAIN#:Epoch [013/025], Step [0000/0063], Loss: 1.5016]
[2025-10-31 12:27:05 AM-Train.py-INFO:#TRAIN#:Epoch [013/025], Step [0020/0063], Loss: 1.4670]
[2025-10-31 12:27:27 AM-Train.py-INFO:#TRAIN#:Epoch [013/025], Step [0040/0063], Loss: 1.3954]
[2025-10-31 12:27:49 AM-Train.py-INFO:#TRAIN#:Epoch [013/025], Step [0060/0063], Loss: 1.5504]
[2025-10-31 12:27:56 AM-Train.py-INFO:#TRAIN#:Epoch [014/025], Step [0000/0063], Loss: 1.8305]
